,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value,age
0,Chickie,Brister,1,86,1957-07-12,71,5,1000,N,1,14,45 Shopko Center,4500,1,Australia,6,0.56,0.7000000000000001,0.8750000000000001,0.74375,1,1,1.71875,22981.0
1,Morly,Genery,1,69,1970-03-22,165,6,1000,N,0,16,14 Mccormick Park,2113,0,Australia,11,0.89,0.89,1.1125,0.945625,1,1,1.71875,18345.0
2,Ardelis,Forrester,0,10,1974-08-28,139,2,40000,N,0,10,5 Colorado Crossing,3505,2,Australia,5,1.01,1.01,1.01,1.01,1,1,1.71875,16725.0
3,Lucine,Stutt,0,64,1979-01-28,4,5,40000,N,1,5,207 Annamark Plaza,4814,1,Australia,1,0.87,1.0875,1.0875,1.0875,4,4,1.703125,15111.0
4,Melinda,Hadlee,0,34,1965-09-21,68,2,40000,N,0,19,115 Montana Place,2093,0,Australia,9,0.52,0.52,0.65,0.65,4,4,1.703125,19988.0
5,Druci,Brandli,0,39,1951-04-29,21,1,20000,N,1,22,89105 Pearson Terrace,4075,1,Australia,7,0.43,0.5375,0.5375,0.5375,6,6,1.671875,25247.0
6,Rutledge,Hallt,1,23,1976-10-06,39,2,1000,N,0,8,7 Nevada Crossing,2620,0,Australia,7,0.4,0.4,0.4,0.34,6,6,1.671875,15955.0
7,Nancie,Vian,0,74,1972-12-27,84,7,1000,N,1,10,85 Carioca Point,4814,1,Australia,5,0.58,0.725,0.725,0.61625,8,8,1.65625,17334.0
8,Duff,Karlowicz,1,50,1972-04-28,154,5,1000,N,1,5,717 West Drive,2200,0,Australia,10,1.03,1.2875,1.609375,1.36796875,8,8,1.65625,17577.0
9,Barthel,Docket,1,72,1985-08-02,13,4,1000,N,1,17,80 Scofield Junction,4151,1,Australia,5,0.84,1.05,1.05,0.8925,10,10,1.640625,12733.0
10,Rockwell,Matson,1,94,1995-01-01,114,7,20000,N,0,3,3682 Crowley Point,4573,1,Australia,6,0.58,0.58,0.725,0.725,10,10,1.640625,9294.0
11,Wheeler,Winward,1,48,1999-08-30,64,5,1000,N,0,10,3 Golden Leaf Point,3216,2,Australia,8,0.55,0.55,0.55,0.4675,12,12,1.625,7592.0
12,Olag,,1,60,1990-05-13,87,8,1000,N,0,9,0484 North Avenue,2032,0,Australia,11,0.43,0.43,0.5375,0.456875,13,13,1.609375,10988.0
13,Melba,Spellacy,0,38,1976-12-09,174,3,1000,N,0,4,0591 Anzinger Circle,2232,0,Australia,10,0.84,0.84,1.05,0.8925,14,14,1.59375,15891.0
14,Mandie,Feares,0,32,1964-04-19,37,3,1000,N,0,10,39 Kedzie Pass,4053,1,Australia,8,0.8,0.8,0.8,0.68,14,14,1.59375,20508.0
15,Dukie,Swire,1,88,1954-03-31,184,5,40000,N,1,5,64 Granby Parkway,2500,0,Australia,8,0.58,0.725,0.90625,0.90625,16,16,1.5625,24180.0
16,Marcelia,Monkleigh,0,61,1993-08-22,23,5,1000,N,1,4,610 Swallow Street,4051,1,Australia,6,0.86,1.075,1.075,0.91375,17,17,1.546875,9791.0
17,Winnifred,Beswetherick,0,83,1976-06-08,14,2,1000,N,0,14,61 4th Street,3040,2,Australia,10,0.9,0.9,1.125,0.9562499999999999,17,17,1.546875,16075.0
18,Odilia,Quick,0,65,1938-11-09,71,5,40000,N,1,11,1550 Russell Way,2222,0,Australia,11,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,19,19,1.53125,29801.0
19,Karly,Willavize,0,2,1954-08-12,89,5,20000,N,0,12,193 North Point,2190,0,Australia,10,0.46,0.46,0.5750000000000001,0.5750000000000001,19,19,1.53125,24046.0
20,Teddie,Burchill,1,11,1968-12-21,118,5,1000,N,1,13,321 Raven Plaza,2161,0,Australia,9,0.85,1.0625,1.328125,1.12890625,21,21,1.515625,18801.0
21,Gaston,Dallaghan,1,44,1993-09-29,68,2,1000,N,1,8,656 Fuller Street,2783,0,Australia,7,0.77,0.9625,0.9625,0.818125,21,21,1.515625,9753.0
22,Otis,Ottey,1,26,1998-02-05,124,9,1000,N,0,3,1562 Merchant Street,4744,1,Australia,4,1.02,1.02,1.02,0.867,23,23,1.5,8163.0
23,Tabbatha,Averill,0,5,1977-12-17,123,9,40000,N,1,13,663 8th Parkway,2257,0,Australia,8,0.72,0.8999999999999999,0.8999999999999999,0.8999999999999999,23,23,1.5,15518.0
24,Brena,Schnitter,0,78,1982-10-11,1,5,1000,N,0,4,67 Shelley Street,4703,1,Australia,5,0.61,0.61,0.61,0.5185,25,25,1.484375,13759.0
25,Rourke,Gillbard,1,11,1945-08-03,184,6,1000,N,0,17,75 Cordelia Trail,4817,1,Australia,4,0.59,0.59,0.59,0.5015,26,26,1.46875,27342.0
26,Dyane,Burwell,0,19,1952-06-27,61,7,1000,N,1,7,51 Hooker Court,2640,0,Australia,2,0.89,1.1125,1.1125,0.945625,26,26,1.46875,24822.0
27,Claudine,Barstowk,0,71,1966-07-20,101,6,20000,N,1,5,1859 Forest Circle,4000,1,Australia,11,0.67,0.8375,1.046875,1.046875,26,26,1.46875,19686.0
28,Blinnie,Roze,0,84,1960-12-10,92,1,20000,N,0,11,44557 Rutledge Court,4171,1,Australia,7,1.08,1.08,1.35,1.35,26,26,1.46875,21734.0
29,Rhona,De Freyne,0,45,1960-11-22,184,3,20000,N,0,8,11184 East Drive,3056,2,Australia,10,0.73,0.73,0.9125,0.9125,30,30,1.4609375,21752.0
30,Sharron,Claibourn,0,62,1980-01-26,184,2,20000,N,1,17,555 Hermina Avenue,2280,0,Australia,8,0.71,0.8875,0.8875,0.8875,30,30,1.4609375,14748.0
31,Brien,Heaton,1,70,1951-11-28,37,3,1000,N,1,12,8 Novick Trail,2470,0,Australia,2,1.01,1.2625,1.2625,1.073125,32,32,1.453125,25034.0
32,Sybilla,MacCart,0,88,1987-01-15,108,2,1000,N,1,7,74 Welch Pass,2620,0,Australia,7,0.41,0.5125,0.640625,0.54453125,32,32,1.453125,12202.0
33,Mikel,McNess,1,71,1981-09-22,101,9,1000,N,0,9,3 Pleasure Drive,4122,1,Australia,9,0.7,0.7,0.875,0.74375,32,32,1.453125,14143.0
34,Maisie,Maddox,0,27,1977-05-09,20,2,40000,N,0,20,8 Dennis Point,3226,2,Australia,9,0.66,0.66,0.8250000000000001,0.8250000000000001,32,32,1.453125,15740.0
35,Arleen,Casbolt,0,48,1975-05-10,143,2,40000,N,1,13,41042 Lotheville Crossing,4817,1,Australia,1,0.77,0.9625,0.9625,0.9625,36,36,1.44765625,16470.0
36,Farlie,Petford,1,76,1968-03-25,126,9,20000,N,0,13,2330 Butternut Trail,2017,0,Australia,10,0.86,0.86,1.075,1.075,36,36,1.44765625,19072.0
37,Mitchell,MacCague,1,58,1979-04-11,184,5,1000,N,0,15,240 Acker Avenue,3190,2,Australia,8,0.62,0.62,0.62,0.527,38,38,1.4375,15038.0
38,Garik,Whitwell,1,44,1955-06-13,184,6,1000,N,1,13,04 Dexter Way,3280,2,Australia,2,0.88,1.1,1.1,0.935,38,38,1.4375,23741.0
