,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,sum,address,postcode,state,country,property_valuation,age
0,1,Laraine,Medendorp,0,93,1953-10-12,71,3,1000,N,"""'",1,11.0,9084.449999999999,060 Morning Avenue,2016,0,Australia,10,24350.0
1,2,Eli,Bockman,1,81,1980-12-16,19,2,1000,N,<script>alert('hi')</script>,1,16.0,4149.07,6 Meadow Vale Court,2153,0,Australia,10,14423.0
2,4,Talbot,,1,33,1961-10-03,195,4,1000,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },0,7.0,1047.72,0 Holy Cross Court,4211,1,Australia,9,21437.0
3,5,Sheila-kathryn,Calton,0,56,1977-05-13,149,9,40000,N,NIL,1,8.0,5903.2,17979 Del Mar Point,2448,0,Australia,4,15736.0
4,6,Curr,Duckhouse,1,35,1966-09-16,195,7,20000,N,ðµ ð ð ð,1,13.0,5931.6900000000005,9 Oakridge Court,3216,2,Australia,9,19628.0
5,7,Fina,Merali,0,6,1976-02-23,195,2,40000,N,â°â´âµâââ,1,11.0,995.38,4 Delaware Trail,2210,0,Australia,9,16181.0
6,8,Rod,Inder,1,31,1962-03-30,102,9,1000,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),0,7.0,12024.759999999998,49 Londonderry Lane,2650,0,Australia,4,21259.0
7,9,Mala,Lind,0,97,1973-03-10,38,0,40000,N,0/0,1,8.0,5357.55,97736 7th Trail,2023,0,Australia,12,17261.0
8,11,Uriah,Bisatt,1,99,1954-04-30,195,6,1000,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,0,9.0,6779.4400000000005,93405 Ludington Park,3044,2,Australia,8,24150.0
9,12,Sawyere,Flattman,1,58,1994-07-21,106,5,1000,N,nil,0,8.0,6394.21,44339 Golden Leaf Alley,4557,1,Australia,4,9458.0
10,13,Gabriele,Norcross,1,38,1955-02-15,58,2,20000,N,-100,1,8.0,7734.740000000001,2 Sutherland Street,3799,2,Australia,6,23859.0
11,14,Rayshell,Kitteman,0,85,1983-03-25,1,2,40000,N,â°â´âµ,0,6.0,3593.57,9 Mcbride Trail,2760,0,Australia,8,13594.0
12,15,Erroll,Radage,1,91,2000-07-13,96,5,1000,N,ð,0,1.0,4923.339999999999,9861 New Castle Avenue,2428,0,Australia,9,7274.0
13,16,Harlin,Parr,1,38,1977-02-27,105,9,1000,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,1,18.0,7763.79,52 Moland Street,3331,2,Australia,4,15811.0
14,17,Heath,Faraday,1,57,1962-03-19,145,9,40000,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,1,15.0,4676.1900000000005,82391 Kensington Lane,3058,2,Australia,9,21270.0
15,18,Marjie,Neasham,0,79,1967-07-06,120,9,40000,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,0,11.0,8878.62,092 2nd Alley,2135,0,Australia,12,19335.0
16,19,Sorcha,Keyson,0,76,2001-04-15,77,5,20000,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,0,1.0,4238.1900000000005,59 Spaight Circle,2233,0,Australia,9,6998.0
17,20,Basile,Firth,1,72,1980-08-13,129,5,1000,N,ð©ð½,0,11.0,6618.860000000001,032 Bartelt Crossing,2444,0,Australia,8,14548.0
18,21,Mile,Cammocke,1,74,1980-09-20,141,5,40000,N,-100,1,16.0,7446.209999999999,18 Jenna Center,2650,0,Australia,7,14510.0
19,24,Kim,Skpsey,0,55,1977-12-03,135,0,1000,N,../../../../../../../../../../../etc/hosts,1,15.0,8078.950000000001,3 Cordelia Plaza,2153,0,Australia,10,15532.0
